date,symbol,sector,setup,score,entry,stop,target,size,invested,risk_usd,reward_usd,rr,news_sentiment,confirmed_15m,outcome,outcome_date,exit_price,pnl_usd,pnl_pct
2026-07-07,FTNT,XLK,ATH Breakout,22,158.67,143.47,196.67,19,3015,289,722,2.5,Neutral,No,,,,,
2026-07-08,MPC,XLE,ATH Breakout,29,280.67,256.35,341.47,12,3368,292,730,2.5,Neutral,Yes,TARGET HIT,2026-08-12,341.47,729.6,21.66
2026-07-08,AMD,SMH,EMA20 Pullback,26,517.41,495.35,572.54,8,4139,176,441,2.51,Neutral,Yes,TARGET HIT,2026-07-14,572.54,441.04,10.65
2026-07-08,NVDA,SMH,EMA20 Pullback,24,204.12,189.8,239.92,20,4082,286,716,2.5,Neutral,Yes,,,,,
2026-07-08,HPE,XLK,EMA20 Pullback,23,44.65,40.72,54.49,76,3393,299,748,2.5,Neutral,Yes,TARGET HIT,2026-08-05,54.49,747.84,22.04
2026-07-08,LLY,XBI,EMA20 Pullback,23,1215.84,1100.98,1502.99,2,2432,230,574,2.5,Neutral,No,,,,,
2026-07-09,ROIV,XBI,ATH Breakout,27,36.81,33.61,44.81,93,3423,298,744,2.5,Neutral,Yes,STOPPED,2026-07-28,33.61,-297.6,-8.69
2026-07-09,MPC,XLE,ATH Breakout,27,283.3,259.36,343.16,12,3400,287,718,2.5,Neutral,Yes,TARGET HIT,2026-08-12,343.16,718.32,21.13
2026-07-09,AMD,SMH,EMA20 Pullback,27,546.72,495.35,675.14,5,2734,257,642,2.5,Neutral,Yes,STOPPED,2026-07-27,495.35,-256.85,-9.4
2026-07-09,FTNT,XLK,ATH Breakout,26,163.73,144.62,211.5,15,2456,287,717,2.5,Neutral,Yes,STOPPED,2026-07-29,144.62,-286.65,-11.67
2026-07-09,V,XLF,EMA20 Pullback,25,348.2,330.07,393.53,12,4178,218,544,2.5,Neutral,Yes,,,,,
2026-07-10,MPC,XLE,ATH Breakout,26,283.62,258.99,345.19,12,3403,296,739,2.5,Neutral,Yes,TARGET HIT,2026-08-12,345.19,738.84,21.71
2026-07-10,AMD,SMH,ATH Breakout,26,558.07,495.35,714.87,4,2232,251,627,2.5,Neutral,Yes,STOPPED,2026-07-27,495.35,-250.88,-11.24
2026-07-10,CORT,XLK,ATH Breakout,25,91.94,82.31,116.02,31,2850,299,746,2.49,Neutral,Yes,TARGET HIT,2026-07-30,116.02,746.48,26.19
2026-07-10,ROIV,XBI,ATH Breakout,24,35.97,33.61,41.87,125,4496,295,738,2.5,Neutral,Yes,STOPPED,2026-07-28,33.61,-295.0,-6.56
2026-07-10,NVDA,SMH,EMA20 Pullback,24,210.49,190.11,261.45,14,2947,285,713,2.5,Neutral,Yes,,,,,
2026-07-13,MPC,XLE,ATH Breakout,28,296.87,270.64,362.46,11,3266,289,721,2.49,Neutral,Yes,TARGET HIT,2026-08-17,362.46,721.49,22.09
2026-07-13,V,XLF,EMA20 Pullback,28,357.05,338.27,404.0,12,4285,225,563,2.5,Neutral,Yes,,,,,
2026-07-13,CRWD,XLK,EMA20 Pullback,24,188.4,176.03,219.32,23,4333,285,711,2.49,Neutral,Yes,STOPPED,2026-07-28,176.03,-284.51,-6.57
2026-07-13,VKTX,XBI,EMA20 Pullback,24,38.24,36.69,42.13,117,4475,182,455,2.5,Neutral,Yes,STOPPED,2026-07-20,36.69,-181.35,-4.05
2026-07-13,LLY,XBI,EMA20 Pullback,24,1187.24,1166.01,1240.31,3,3562,64,159,2.48,Neutral,Yes,STOPPED,2026-07-14,1166.01,-63.69,-1.79
2026-07-13,PANW,XLK,EMA20 Pullback,24,330.3,305.33,392.72,12,3964,300,749,2.5,Neutral,Yes,TARGET HIT,2026-08-13,392.72,749.04,18.9
2026-07-13,MA,XLF,EMA20 Pullback,23,537.7,501.66,627.8,8,4302,288,721,2.5,Neutral,Yes,,,,,
2026-07-14,MPC,XLE,ATH Breakout,29,302.15,275.54,368.67,11,3324,293,732,2.5,Neutral,Yes,,,,,
2026-07-14,NVDA,SMH,EMA20 Pullback,27,211.99,191.14,264.1,14,2968,292,730,2.5,Neutral,Yes,STOPPED,2026-07-29,191.14,-291.9,-9.84
2026-07-14,FTNT,XLK,ATH Breakout,27,166.62,150.73,206.34,18,2999,286,715,2.5,Neutral,Yes,STOPPED,2026-07-28,150.73,-286.02,-9.54
2026-07-14,PANW,XLK,ATH Breakout,25,352.86,314.95,447.63,7,2470,265,663,2.5,Neutral,Yes,STOPPED,2026-07-28,314.95,-265.37,-10.74
2026-07-14,AMD,SMH,EMA20 Pullback,23,549.55,498.15,678.05,5,2748,257,642,2.5,Neutral,Yes,STOPPED,2026-07-27,498.15,-257.0,-9.35
2026-07-15,JPM,XLF,EMA20 Pullback,28,346.8,323.55,404.94,12,4162,279,698,2.5,Neutral,Yes,,,,,
2026-07-15,V,XLF,EMA20 Pullback,27,356.33,340.98,394.69,12,4276,184,460,2.5,Neutral,No,,,,,
2026-07-15,AMZN,XLK,EMA20 Pullback,25,254.36,234.9,303.01,15,3815,292,730,2.5,Neutral,Yes,STOPPED,2026-07-27,234.9,-291.9,-7.65
2026-07-15,AMD,SMH,EMA20 Pullback,24,530.19,498.15,610.29,8,4242,256,641,2.5,Neutral,Yes,STOPPED,2026-07-27,498.15,-256.32,-6.04
2026-07-15,ROIV,XBI,EMA20 Pullback,24,34.9,34.29,36.43,128,4467,78,195,2.5,Neutral,Yes,STOPPED,2026-07-20,34.29,-78.08,-1.75
2026-07-15,LYFT,XLY,Trend Continuation,24,16.23,14.73,19.97,200,3246,299,747,2.5,Neutral,Yes,STOPPED,2026-07-22,14.73,-300.0,-9.24
2026-07-20,MPC,XLE,ATH Breakout,25,315.36,289.2,380.76,11,3469,288,719,2.5,Neutral,Yes,,,,,
2026-07-20,SNOW,XLK,ATH Breakout,24,274.34,253.0,327.69,14,3841,299,747,2.5,Neutral,Yes,TARGET HIT,2026-08-07,327.69,746.9,19.45
2026-07-20,S,XLK,Trend Continuation,22,19.45,17.2,25.09,133,2588,300,750,2.5,Neutral,No,,,,,
2026-07-21,JPM,XLF,EMA20 Pullback,28,345.15,325.75,393.65,13,4487,252,630,2.5,Neutral,Yes,,,,,
2026-07-21,MPC,XLE,ATH Breakout,26,319.73,293.93,384.23,11,3517,284,709,2.5,Neutral,Yes,STOPPED,2026-08-06,293.93,-283.8,-8.07
2026-07-21,LLY,XBI,EMA20 Pullback,26,1175.15,1134.4,1277.01,3,3525,122,306,2.51,Neutral,Yes,STOPPED,2026-07-31,1134.4,-122.25,-3.47
2026-07-21,ROIV,XBI,EMA20 Pullback,25,34.96,33.56,38.47,128,4475,179,449,2.51,Neutral,Yes,STOPPED,2026-07-28,33.56,-179.2,-4.0
2026-07-21,XOM,XLE,Trend Continuation,23,151.72,141.95,176.14,29,4400,283,708,2.5,Neutral,Yes,,,,,
2026-07-22,JPM,XLF,EMA20 Pullback,27,348.65,325.75,405.9,12,4184,275,687,2.5,Neutral,Yes,,,,,
2026-07-22,ROIV,XBI,EMA20 Pullback,26,35.01,33.56,38.64,128,4481,186,465,2.5,Neutral,Yes,STOPPED,2026-07-28,33.56,-185.6,-4.14
2026-07-22,NVDA,SMH,EMA20 Pullback,25,212.51,197.97,248.86,20,4250,291,727,2.5,Neutral,Yes,STOPPED,2026-07-27,197.97,-290.8,-6.84
2026-07-22,NU,XLF,Squeeze Breakout,24,14.49,13.09,18.0,213,3086,299,748,2.5,Neutral,Yes,,,,,
2026-07-22,NEE,XLU,EMA20 Pullback,24,89.54,86.84,96.29,50,4477,135,338,2.5,Neutral,Yes,STOPPED,2026-08-03,86.84,-135.0,-3.02
2026-07-27,RTX,ITA,ATH Breakout,31,219.58,202.57,262.1,17,3733,289,723,2.5,Neutral,Yes,,,,,
2026-07-27,JPM,XLF,EMA20 Pullback,26,353.81,330.79,411.37,12,4246,276,691,2.5,Neutral,No,,,,,
2026-07-27,ITA,ITA,EMA20 Pullback,26,243.75,228.52,281.82,18,4388,274,685,2.5,N/A,No,,,,,
2026-07-27,SNOW,XLK,EMA20 Pullback,26,271.92,259.48,303.02,16,4351,199,498,2.5,Neutral,Yes,STOPPED,2026-07-28,259.48,-199.04,-4.57
2026-07-27,GE,XLI,EMA20 Pullback,23,361.41,336.53,423.61,12,4337,299,746,2.49,Neutral,Yes,,,,,
2026-07-27,HPE,XLK,EMA20 Pullback,24,48.21,43.7,59.47,66,3182,297,743,2.5,Neutral,Yes,STOPPED,2026-07-28,43.7,-297.66,-9.35
2026-07-28,RTX,ITA,ATH Breakout,23,218.89,202.46,259.96,18,3940,296,739,2.5,Neutral,Yes,,,,,
2026-07-28,ITA,ITA,EMA20 Pullback,23,243.79,229.32,279.97,18,4388,261,651,2.49,N/A,No,,,,,
2026-07-28,S,XLK,EMA20 Pullback,23,18.1,17.32,20.07,248,4490,195,487,2.5,Neutral,Yes,TARGET HIT,2026-08-03,20.07,488.56,10.88
2026-07-28,NEE,XLU,EMA20 Pullback,23,90.57,87.45,98.37,49,4438,153,382,2.5,Neutral,Yes,STOPPED,2026-07-30,87.45,-152.88,-3.44
2026-07-28,ZS,XLK,EMA20 Pullback,22,151.12,139.24,180.84,25,3778,297,743,2.5,Neutral,Yes,TARGET HIT,2026-08-13,180.84,743.0,19.67
2026-07-28,NU,XLF,Squeeze Breakout,22,14.72,13.33,18.19,216,3179,300,750,2.5,Neutral,Yes,,,,,
2026-07-28,GE,XLI,EMA20 Pullback,22,361.68,336.53,424.55,11,3978,277,692,2.5,Neutral,No,,,,,
2026-07-28,JPM,XLF,EMA20 Pullback,23,357.61,335.31,413.37,12,4291,268,669,2.5,Neutral,Yes,,,,,
2026-07-30,GE,XLI,EMA20 Pullback,24,352.74,338.6,388.09,12,4233,170,424,2.49,Neutral,Yes,TARGET HIT,2026-08-06,388.09,424.2,10.02
2026-07-30,JPM,XLF,EMA20 Pullback,24,349.09,335.05,384.19,12,4189,168,421,2.51,Neutral,Yes,,,,,
2026-07-30,DLR,XLRE,EMA20 Pullback,23,193.98,172.78,246.98,14,2716,297,742,2.5,Neutral,Yes,,,,,
2026-07-30,RTX,ITA,EMA20 Pullback,23,210.88,193.11,255.28,16,3374,284,710,2.5,Neutral,No,,,,,
2026-07-30,V,XLF,EMA20 Pullback,27,363.65,348.5,401.54,12,4364,182,455,2.5,Neutral,No,,,,,
2026-07-30,GD,ITA,EMA20 Pullback,26,380.25,361.24,427.78,11,4183,209,523,2.5,Neutral,No,,,,,
2026-07-30,PANW,XLK,EMA20 Pullback,24,326.29,308.54,370.67,13,4242,231,577,2.5,Neutral,Yes,TARGET HIT,2026-08-05,370.67,576.94,13.6
2026-07-31,V,XLF,EMA20 Pullback,30,364.85,348.5,405.73,12,4378,196,491,2.51,Neutral,Yes,,,,,
2026-07-31,RTX,ITA,EMA20 Pullback,23,212.86,194.9,257.77,16,3406,287,719,2.51,Neutral,Yes,,,,,
2026-07-31,AMZN,XLK,ATH Breakout,23,271.2,243.69,339.99,10,2712,275,688,2.5,Neutral,Yes,,,,,
2026-07-31,GE,XLI,EMA20 Pullback,23,356.94,338.6,402.79,12,4283,220,550,2.5,Neutral,Yes,,,,,
2026-07-31,JPM,XLF,EMA20 Pullback,23,351.96,337.3,388.61,12,4224,176,440,2.5,Neutral,Yes,,,,,
2026-07-31,MSFT,XLK,Trend Continuation,25,463.17,414.43,585.02,6,2779,292,731,2.5,Neutral,No,,,,,
2026-08-03,GE,XLI,EMA20 Pullback,30,364.8,338.6,430.32,11,4013,288,721,2.5,Neutral,Yes,,,,,
2026-08-03,AMZN,XLK,ATH Breakout,30,284.82,254.73,360.03,9,2563,271,677,2.5,Neutral,No,,,,,
2026-08-03,ITA,ITA,EMA20 Pullback,28,243.38,226.6,285.33,17,4137,285,713,2.5,N/A,Yes,,,,,
2026-08-03,V,XLF,EMA20 Pullback,25,366.84,348.5,412.69,12,4402,220,550,2.5,Neutral,No,,,,,
2026-08-03,XOM,XLE,EMA20 Pullback,25,155.66,148.48,173.61,28,4358,201,503,2.5,Neutral,Yes,,,,,
2026-08-03,COF,XLF,EMA20 Pullback,29,216.24,199.51,258.07,17,3676,284,711,2.5,Neutral,Yes,,,,,
2026-08-03,MSFT,XLK,Trend Continuation,25,488.6,436.2,619.6,5,2443,262,655,2.5,Neutral,No,,,,,
2026-08-03,PYPL,XLF,Trend Continuation,24,57.87,54.94,65.21,77,4456,226,565,2.5,Neutral,Yes,,,,,
2026-08-04,GE,XLI,EMA20 Pullback,30,372.12,338.6,455.94,8,2977,268,670,2.5,Neutral,Yes,,,,,
2026-08-04,JPM,XLF,EMA20 Pullback,29,362.44,343.78,409.09,12,4349,224,560,2.5,Neutral,Yes,,,,,
2026-08-04,OKTA,XLK,EMA20 Pullback,28,145.55,129.02,186.87,18,2620,297,744,2.51,Neutral,Yes,,,,,
2026-08-04,MSFT,XLK,Trend Continuation,28,496.44,442.96,630.15,5,2482,267,669,2.51,Neutral,Yes,,,,,
2026-08-04,RTX,ITA,EMA20 Pullback,24,216.39,198.51,261.08,16,3462,286,715,2.5,Neutral,Yes,,,,,
2026-08-04,DLR,XLRE,EMA20 Pullback,25,194.64,176.8,239.23,16,3114,285,713,2.5,Neutral,Yes,,,,,
2026-08-04,V,XLF,EMA20 Pullback,27,370.66,348.5,426.06,12,4448,266,665,2.5,Neutral,Yes,,,,,
2026-08-04,COF,XLF,Trend Continuation,26,221.9,204.53,265.3,17,3772,295,738,2.5,Neutral,Yes,,,,,
2026-08-04,XAR,XAR,EMA20 Pullback,25,281.89,258.5,340.35,12,3383,281,702,2.5,N/A,Yes,,,,,
2026-08-05,S,XLK,Squeeze Breakout,31,21.14,18.64,27.4,119,2516,298,744,2.5,Neutral,No,,,,,
2026-08-05,GE,XLI,ATH Breakout,30,382.14,351.18,459.54,9,3439,279,697,2.5,Neutral,Yes,STOPPED,2026-08-20,351.18,-278.64,-8.1
2026-08-05,NVDA,SMH,Trend Continuation,27,220.01,195.98,280.06,12,2640,288,721,2.5,Neutral,Yes,,,,,
2026-08-05,COF,XLF,Trend Continuation,24,222.17,204.21,267.06,16,3555,287,718,2.5,Neutral,No,,,,,
2026-08-05,RTX,ITA,ATH Breakout,23,219.74,202.51,262.83,17,3736,293,732,2.5,Neutral,Yes,,,,,
2026-08-05,ITA,ITA,EMA20 Pullback,25,251.68,234.7,294.14,17,4279,289,722,2.5,N/A,No,,,,,
2026-08-05,IAU,GLD,Squeeze Breakout,25,79.93,75.74,90.41,56,4476,235,587,2.5,N/A,Yes,,,,,
2026-08-05,GLD,GLD,Squeeze Breakout,26,389.62,368.9,441.42,11,4286,228,570,2.5,N/A,Yes,,,,,
2026-08-06,OKTA,XLK,EMA20 Pullback,27,145.16,129.02,185.53,18,2613,291,727,2.5,Neutral,No,,,,,
2026-08-06,FTNT,XLK,EMA20 Pullback,26,161.8,143.77,206.89,16,2589,289,721,2.49,Neutral,No,,,,,
2026-08-06,XAR,XAR,ATH Breakout,23,288.5,265.51,345.98,13,3750,299,747,2.5,N/A,Yes,,,,,
2026-08-06,GE,XLI,ATH Breakout,23,382.57,352.98,456.53,10,3826,296,740,2.5,Neutral,Yes,STOPPED,2026-08-20,352.98,-295.9,-7.73
2026-08-06,COF,XLF,Trend Continuation,23,221.85,204.7,264.72,17,3771,292,729,2.5,Neutral,Yes,,,,,
2026-08-07,PANW,XLK,ATH Breakout,27,366.41,323.54,473.6,6,2198,257,643,2.5,Neutral,Yes,,,,,
